week,colour_group_name,sales_count
2018-10-08,Other Purple,137
2018-10-08,Other Red,320
2018-10-08,Other Turquoise,13
2018-10-08,Other Yellow,80
2018-10-08,Pink,4179
2018-10-08,Purple,227
2018-10-08,Red,7077
2018-10-08,Silver,1453
2018-10-08,Transparent,96
2018-10-08,Turquoise,1047
2018-10-08,Unknown,82
2018-10-08,White,25645
2018-10-08,Yellow,4679
2018-10-08,Yellowish Brown,2592
2018-10-15,Beige,5062
2018-10-15,Black,113175
2018-10-15,Blue,10324
2018-10-15,Bronze/Copper,199
2018-10-15,Dark Beige,1317
2018-10-15,Dark Blue,28567
2018-10-15,Dark Green,5788
2018-10-15,Dark Grey,10426
2018-10-15,Dark Orange,1161
2018-10-15,Dark Pink,1806
2018-10-15,Dark Purple,990
2018-10-15,Dark Red,12190
2018-10-15,Dark Turquoise,2906
2018-10-15,Dark Yellow,979
2018-10-15,Gold,1904
2018-10-15,Green,869
2018-10-15,Greenish Khaki,6446
2018-10-15,Grey,12551
2018-10-15,Greyish Beige,239
2018-10-15,Light Beige,7057
2018-10-15,Light Blue,8845
2018-10-15,Light Green,403
2018-10-15,Light Grey,5036
2018-10-15,Light Orange,2782
2018-10-15,Light Pink,7605
2018-10-15,Light Purple,505
2018-10-15,Light Red,316
2018-10-15,Light Turquoise,766
2018-10-15,Light Yellow,718
2018-10-15,Off White,5679
2018-10-15,Orange,1092
2018-10-15,Other,459
2018-10-15,Other Blue,75
2018-10-15,Other Green,44
2018-10-15,Other Orange,84
2018-10-15,Other Pink,630
2018-10-15,Other Purple,149
2018-10-15,Other Red,441
2018-10-15,Other Turquoise,9
2018-10-15,Other Yellow,81
2018-10-15,Pink,3870
2018-10-15,Purple,330
2018-10-15,Red,6124
2018-10-15,Silver,1206
2018-10-15,Transparent,74
2018-10-15,Turquoise,968
2018-10-15,Unknown,84
2018-10-15,White,25417
2018-10-15,Yellow,4147
2018-10-15,Yellowish Brown,3014
2018-10-22,Beige,6546
2018-10-22,Black,139526
2018-10-22,Blue,12579
2018-10-22,Bronze/Copper,134
2018-10-22,Dark Beige,1759
2018-10-22,Dark Blue,35389
2018-10-22,Dark Green,7245
2018-10-22,Dark Grey,13578
2018-10-22,Dark Orange,1423
2018-10-22,Dark Pink,2196
2018-10-22,Dark Purple,1282
2018-10-22,Dark Red,16324
2018-10-22,Dark Turquoise,3201
2018-10-22,Dark Yellow,1408
2018-10-22,Gold,2285
2018-10-22,Green,1077
2018-10-22,Greenish Khaki,8152
2018-10-22,Grey,15882
2018-10-22,Greyish Beige,307
2018-10-22,Light Beige,9145
2018-10-22,Light Blue,9577
2018-10-22,Light Green,403
2018-10-22,Light Grey,6923
2018-10-22,Light Orange,3283
2018-10-22,Light Pink,9682
2018-10-22,Light Purple,583
2018-10-22,Light Red,387
2018-10-22,Light Turquoise,955
2018-10-22,Light Yellow,911
2018-10-22,Off White,6272
2018-10-22,Orange,993
2018-10-22,Other,765
2018-10-22,Other Blue,92
2018-10-22,Other Green,59
2018-10-22,Other Orange,90
2018-10-22,Other Pink,784
2018-10-22,Other Purple,130
2018-10-22,Other Red,666
2018-10-22,Other Turquoise,10
2018-10-22,Other Yellow,83
2018-10-22,Pink,3712
2018-10-22,Purple,378
2018-10-22,Red,8708
2018-10-22,Silver,1612
2018-10-22,Transparent,112
2018-10-22,Turquoise,1059
2018-10-22,Unknown,104
2018-10-22,White,28537
2018-10-22,Yellow,4927
2018-10-22,Yellowish Brown,3347
2018-10-29,Beige,4400
2018-10-29,Black,111210
2018-10-29,Blue,8042
2018-10-29,Bronze/Copper,79
2018-10-29,Dark Beige,1303
2018-10-29,Dark Blue,25356
2018-10-29,Dark Green,5156
2018-10-29,Dark Grey,9836
2018-10-29,Dark Orange,921
2018-10-29,Dark Pink,1589
2018-10-29,Dark Purple,993
2018-10-29,Dark Red,12229
2018-10-29,Dark Turquoise,2265
2018-10-29,Dark Yellow,1167
2018-10-29,Gold,1890
2018-10-29,Green,758
2018-10-29,Greenish Khaki,5206
2018-10-29,Grey,12470
2018-10-29,Greyish Beige,270
2018-10-29,Light Beige,6527
2018-10-29,Light Blue,5952
2018-10-29,Light Green,245
2018-10-29,Light Grey,5286
2018-10-29,Light Orange,2307
2018-10-29,Light Pink,6746
2018-10-29,Light Purple,414
2018-10-29,Light Red,200
2018-10-29,Light Turquoise,614
2018-10-29,Light Yellow,500
2018-10-29,Off White,3815
2018-10-29,Orange,657
2018-10-29,Other,429
2018-10-29,Other Blue,49
2018-10-29,Other Green,39
2018-10-29,Other Orange,68
2018-10-29,Other Pink,497
2018-10-29,Other Purple,113
2018-10-29,Other Red,285
2018-10-29,Other Turquoise,2
2018-10-29,Other Yellow,60
2018-10-29,Pink,2725
2018-10-29,Purple,257
2018-10-29,Red,7075
2018-10-29,Silver,1290
2018-10-29,Transparent,77
2018-10-29,Turquoise,963
2018-10-29,Unknown,70
2018-10-29,White,18878
2018-10-29,Yellow,3146
2018-10-29,Yellowish Brown,2372
2018-11-05,Beige,3808
2018-11-05,Black,104969
2018-11-05,Blue,6015
2018-11-05,Bronze/Copper,70
2018-11-05,Dark Beige,1497
2018-11-05,Dark Blue,20798
2018-11-05,Dark Green,4789
2018-11-05,Dark Grey,8571
2018-11-05,Dark Orange,705
2018-11-05,Dark Pink,1437
2018-11-05,Dark Purple,1001
2018-11-05,Dark Red,11428
2018-11-05,Dark Turquoise,1939
2018-11-05,Dark Yellow,942
2018-11-05,Gold,1897
2018-11-05,Green,700
2018-11-05,Greenish Khaki,3895
2018-11-05,Grey,10009
2018-11-05,Greyish Beige,193
2018-11-05,Light Beige,4670
2018-11-05,Light Blue,4854
2018-11-05,Light Green,232
2018-11-05,Light Grey,4436
2018-11-05,Light Orange,1892
2018-11-05,Light Pink,5374
2018-11-05,Light Purple,316
2018-11-05,Light Red,125
2018-11-05,Light Turquoise,440
2018-11-05,Light Yellow,556
2018-11-05,Off White,3710
2018-11-05,Orange,495
2018-11-05,Other,294
2018-11-05,Other Blue,48
2018-11-05,Other Green,19
2018-11-05,Other Orange,55
2018-11-05,Other Pink,434
2018-11-05,Other Purple,61
2018-11-05,Other Red,209
2018-11-05,Other Turquoise,10
2018-11-05,Other Yellow,65
2018-11-05,Pink,2318
2018-11-05,Purple,177
2018-11-05,Red,7385
2018-11-05,Silver,1456
2018-11-05,Transparent,71
2018-11-05,Turquoise,729
2018-11-05,Unknown,61
2018-11-05,White,16769
2018-11-05,Yellow,2346
2018-11-05,Yellowish Brown,1931
2018-11-12,Beige,3363
2018-11-12,Black,103538
2018-11-12,Blue,6227
2018-11-12,Bronze/Copper,68
2018-11-12,Dark Beige,1165
2018-11-12,Dark Blue,20505
2018-11-12,Dark Green,5018
2018-11-12,Dark Grey,8346
2018-11-12,Dark Orange,571
2018-11-12,Dark Pink,1275
2018-11-12,Dark Purple,874
2018-11-12,Dark Red,10822
2018-11-12,Dark Turquoise,1687
2018-11-12,Dark Yellow,983
2018-11-12,Gold,1874
2018-11-12,Green,672
2018-11-12,Greenish Khaki,3590
2018-11-12,Grey,10479
2018-11-12,Greyish Beige,167
2018-11-12,Light Beige,5622
2018-11-12,Light Blue,4363
2018-11-12,Light Green,155
2018-11-12,Light Grey,4320
2018-11-12,Light Orange,2114
2018-11-12,Light Pink,4994
2018-11-12,Light Purple,247
2018-11-12,Light Red,107
2018-11-12,Light Turquoise,406
2018-11-12,Light Yellow,398
2018-11-12,Off White,3778
2018-11-12,Orange,458
2018-11-12,Other,316
2018-11-12,Other Blue,40
2018-11-12,Other Green,36
2018-11-12,Other Orange,47
2018-11-12,Other Pink,453
2018-11-12,Other Purple,53
2018-11-12,Other Red,198
2018-11-12,Other Turquoise,6
2018-11-12,Other Yellow,46
2018-11-12,Pink,2086
2018-11-12,Purple,162
2018-11-12,Red,7869
2018-11-12,Silver,1294
2018-11-12,Transparent,46
2018-11-12,Turquoise,543
2018-11-12,Unknown,48
2018-11-12,White,15439
2018-11-12,Yellow,2353
2018-11-12,Yellowish Brown,2072
2018-11-19,Beige,7017
2018-11-19,Black,185592
2018-11-19,Blue,12786
2018-11-19,Bronze/Copper,62
2018-11-19,Dark Beige,1933
2018-11-19,Dark Blue,41926
2018-11-19,Dark Green,8494
2018-11-19,Dark Grey,16233
2018-11-19,Dark Orange,887
2018-11-19,Dark Pink,2266
2018-11-19,Dark Purple,1860
2018-11-19,Dark Red,22612
2018-11-19,Dark Turquoise,2659
2018-11-19,Dark Yellow,1464
2018-11-19,Gold,3139
2018-11-19,Green,1541
2018-11-19,Greenish Khaki,6262
2018-11-19,Grey,22864
2018-11-19,Greyish Beige,269
2018-11-19,Light Beige,9957
2018-11-19,Light Blue,8818
2018-11-19,Light Green,320
2018-11-19,Light Grey,9925
2018-11-19,Light Orange,4645
2018-11-19,Light Pink,10779
2018-11-19,Light Purple,396
2018-11-19,Light Red,225
2018-11-19,Light Turquoise,857
2018-11-19,Light Yellow,827
2018-11-19,Off White,6804
2018-11-19,Orange,748
2018-11-19,Other,546
2018-11-19,Other Blue,107
2018-11-19,Other Green,58
2018-11-19,Other Orange,72
2018-11-19,Other Pink,977
2018-11-19,Other Purple,126
2018-11-19,Other Red,273
2018-11-19,Other Turquoise,8
2018-11-19,Other Yellow,160
2018-11-19,Pink,4118
2018-11-19,Purple,211
2018-11-19,Red,13688
2018-11-19,Silver,2415
2018-11-19,Transparent,87
2018-11-19,Turquoise,1261
2018-11-19,Unknown,85
2018-11-19,White,29171
2018-11-19,Yellow,3656
2018-11-19,Yellowish Brown,3133
2018-11-26,Beige,3464
2018-11-26,Black,98085
2018-11-26,Blue,6239
2018-11-26,Bronze/Copper,46
2018-11-26,Dark Beige,1089
2018-11-26,Dark Blue,20887
2018-11-26,Dark Green,4935
2018-11-26,Dark Grey,7560
2018-11-26,Dark Orange,1370
2018-11-26,Dark Pink,1087
2018-11-26,Dark Purple,1137
2018-11-26,Dark Red,10352
2018-11-26,Dark Turquoise,1201
2018-11-26,Dark Yellow,648
2018-11-26,Gold,1709
2018-11-26,Green,757
2018-11-26,Greenish Khaki,3175
2018-11-26,Grey,11187
2018-11-26,Greyish Beige,219
2018-11-26,Light Beige,5117
2018-11-26,Light Blue,4889
2018-11-26,Light Green,235
2018-11-26,Light Grey,5406
2018-11-26,Light Orange,2038
2018-11-26,Light Pink,5791
2018-11-26,Light Purple,235
2018-11-26,Light Red,119
2018-11-26,Light Turquoise,405
2018-11-26,Light Yellow,445
2018-11-26,Off White,4957
2018-11-26,Orange,539
2018-11-26,Other,253
2018-11-26,Other Blue,65
2018-11-26,Other Green,38
2018-11-26,Other Orange,35
2018-11-26,Other Pink,611
2018-11-26,Other Purple,57
2018-11-26,Other Red,177
2018-11-26,Other Turquoise,3
2018-11-26,Other Yellow,179
2018-11-26,Pink,2184
2018-11-26,Purple,149
2018-11-26,Red,9151
2018-11-26,Silver,1493
2018-11-26,Transparent,76
2018-11-26,Turquoise,513
2018-11-26,Unknown,40
2018-11-26,White,16066
2018-11-26,Yellow,1714
2018-11-26,Yellowish Brown,1529
2018-12-03,Beige,3643
2018-12-03,Black,103699
2018-12-03,Blue,4870
2018-12-03,Bronze/Copper,49
2018-12-03,Dark Beige,1140
2018-12-03,Dark Blue,19442
2018-12-03,Dark Green,4919
2018-12-03,Dark Grey,6746
2018-12-03,Dark Orange,897
2018-12-03,Dark Pink,1148
2018-12-03,Dark Purple,802
2018-12-03,Dark Red,9920
2018-12-03,Dark Turquoise,1160
2018-12-03,Dark Yellow,664
2018-12-03,Gold,2578
2018-12-03,Green,540
2018-12-03,Greenish Khaki,2886
2018-12-03,Grey,9307
2018-12-03,Greyish Beige,221
2018-12-03,Light Beige,4708
2018-12-03,Light Blue,4476
2018-12-03,Light Green,270
2018-12-03,Light Grey,4605
2018-12-03,Light Orange,1961
2018-12-03,Light Pink,5099
2018-12-03,Light Purple,296
2018-12-03,Light Red,154
2018-12-03,Light Turquoise,481
2018-12-03,Light Yellow,534
2018-12-03,Off White,4088
2018-12-03,Orange,605
2018-12-03,Other,262
2018-12-03,Other Blue,54
2018-12-03,Other Green,28
2018-12-03,Other Orange,58
2018-12-03,Other Pink,448
2018-12-03,Other Purple,94
2018-12-03,Other Red,143
2018-12-03,Other Turquoise,15
2018-12-03,Other Yellow,86
2018-12-03,Pink,2308
2018-12-03,Purple,177
2018-12-03,Red,9730
2018-12-03,Silver,2115
2018-12-03,Transparent,79
2018-12-03,Turquoise,593
2018-12-03,Unknown,50
2018-12-03,White,15970
2018-12-03,Yellow,1764
2018-12-03,Yellowish Brown,1442
2018-12-10,Beige,3499
2018-12-10,Black,103054
2018-12-10,Blue,4325
2018-12-10,Bronze/Copper,80
2018-12-10,Dark Beige,1004
2018-12-10,Dark Blue,18799
2018-12-10,Dark Green,4573
2018-12-10,Dark Grey,6697
2018-12-10,Dark Orange,976
2018-12-10,Dark Pink,1001
2018-12-10,Dark Purple,709
2018-12-10,Dark Red,9063
2018-12-10,Dark Turquoise,965
2018-12-10,Dark Yellow,602
2018-12-10,Gold,2623
2018-12-10,Green,614
2018-12-10,Greenish Khaki,2671
2018-12-10,Grey,10078
2018-12-10,Greyish Beige,164
2018-12-10,Light Beige,4755
2018-12-10,Light Blue,4244
2018-12-10,Light Green,189
2018-12-10,Light Grey,4734
2018-12-10,Light Orange,1865
2018-12-10,Light Pink,5314
2018-12-10,Light Purple,280
2018-12-10,Light Red,119
2018-12-10,Light Turquoise,496
2018-12-10,Light Yellow,543
2018-12-10,Off White,4001
2018-12-10,Orange,580
2018-12-10,Other,215
2018-12-10,Other Blue,31
2018-12-10,Other Green,54
2018-12-10,Other Orange,55
2018-12-10,Other Pink,493
2018-12-10,Other Purple,106
2018-12-10,Other Red,128
2018-12-10,Other Turquoise,12
2018-12-10,Other Yellow,51
2018-12-10,Pink,2152
2018-12-10,Purple,142
2018-12-10,Red,9748
2018-12-10,Silver,2396
2018-12-10,Transparent,91
2018-12-10,Turquoise,486
2018-12-10,Unknown,35
2018-12-10,White,16241
2018-12-10,Yellow,1458
2018-12-10,Yellowish Brown,1385
2018-12-17,Beige,4898
2018-12-17,Black,138357
2018-12-17,Blue,8320
2018-12-17,Bronze/Copper,63
2018-12-17,Dark Beige,1413
2018-12-17,Dark Blue,30192
2018-12-17,Dark Green,6017
2018-12-17,Dark Grey,10511
2018-12-17,Dark Orange,1062
2018-12-17,Dark Pink,1566
2018-12-17,Dark Purple,1192
2018-12-17,Dark Red,13711
2018-12-17,Dark Turquoise,1877
2018-12-17,Dark Yellow,715
2018-12-17,Gold,3160
2018-12-17,Green,762
2018-12-17,Greenish Khaki,4921
2018-12-17,Grey,15179
2018-12-17,Greyish Beige,310
2018-12-17,Light Beige,7973
2018-12-17,Light Blue,8062
2018-12-17,Light Green,341
2018-12-17,Light Grey,7788
2018-12-17,Light Orange,2834
2018-12-17,Light Pink,10298
2018-12-17,Light Purple,405
2018-12-17,Light Red,151
2018-12-17,Light Turquoise,804
2018-12-17,Light Yellow,657
2018-12-17,Off White,5180
2018-12-17,Orange,954
2018-12-17,Other,357
2018-12-17,Other Blue,84
2018-12-17,Other Green,60
2018-12-17,Other Orange,86
2018-12-17,Other Pink,673
2018-12-17,Other Purple,138
2018-12-17,Other Red,177
2018-12-17,Other Turquoise,7
2018-12-17,Other Yellow,124
2018-12-17,Pink,4200
2018-12-17,Purple,288
2018-12-17,Red,12582
2018-12-17,Silver,2571
2018-12-17,Transparent,155
2018-12-17,Turquoise,840
2018-12-17,Unknown,41
2018-12-17,White,23104
2018-12-17,Yellow,2329
2018-12-17,Yellowish Brown,2384
2018-12-24,Beige,3894
2018-12-24,Black,98242
2018-12-24,Blue,7296
2018-12-24,Bronze/Copper,36
2018-12-24,Dark Beige,1301
2018-12-24,Dark Blue,23152
2018-12-24,Dark Green,4568
2018-12-24,Dark Grey,8498
2018-12-24,Dark Orange,596
2018-12-24,Dark Pink,1158
2018-12-24,Dark Purple,1030
2018-12-24,Dark Red,9211
2018-12-24,Dark Turquoise,1306
2018-12-24,Dark Yellow,582
2018-12-24,Gold,1885
2018-12-24,Green,631
2018-12-24,Greenish Khaki,4390
2018-12-24,Grey,11808
2018-12-24,Greyish Beige,252
2018-12-24,Light Beige,6829
2018-12-24,Light Blue,6732
2018-12-24,Light Green,255
2018-12-24,Light Grey,5558
2018-12-24,Light Orange,2304
2018-12-24,Light Pink,8032
2018-12-24,Light Purple,348
2018-12-24,Light Red,138
2018-12-24,Light Turquoise,687
2018-12-24,Light Yellow,478
2018-12-24,Off White,3907
2018-12-24,Orange,817
2018-12-24,Other,319
2018-12-24,Other Blue,70
2018-12-24,Other Green,24
2018-12-24,Other Orange,80
2018-12-24,Other Pink,504
2018-12-24,Other Purple,119
2018-12-24,Other Red,166
2018-12-24,Other Turquoise,3
2018-12-24,Other Yellow,150
2018-12-24,Pink,3454
2018-12-24,Purple,224
2018-12-24,Red,6688
2018-12-24,Silver,1396
2018-12-24,Transparent,126
2018-12-24,Turquoise,540
2018-12-24,Unknown,31
2018-12-24,White,19245
2018-12-24,Yellow,1918
2018-12-24,Yellowish Brown,2173
2018-12-31,Beige,5541
2018-12-31,Black,98215
2018-12-31,Blue,7608
2018-12-31,Bronze/Copper,43
2018-12-31,Dark Beige,1468
2018-12-31,Dark Blue,24373
2018-12-31,Dark Green,5492
2018-12-31,Dark Grey,8407
2018-12-31,Dark Orange,536
2018-12-31,Dark Pink,1359
2018-12-31,Dark Purple,1200
2018-12-31,Dark Red,8271
2018-12-31,Dark Turquoise,1295
2018-12-31,Dark Yellow,847
2018-12-31,Gold,1651
2018-12-31,Green,795
2018-12-31,Greenish Khaki,4750
2018-12-31,Grey,11721
2018-12-31,Greyish Beige,175
2018-12-31,Light Beige,7200
2018-12-31,Light Blue,7417
2018-12-31,Light Green,268
2018-12-31,Light Grey,5255
2018-12-31,Light Orange,2313
2018-12-31,Light Pink,8196
2018-12-31,Light Purple,345
2018-12-31,Light Red,167
2018-12-31,Light Turquoise,696
2018-12-31,Light Yellow,501
2018-12-31,Off White,3979
2018-12-31,Orange,1322
2018-12-31,Other,246
2018-12-31,Other Blue,72
2018-12-31,Other Green,31
2018-12-31,Other Orange,148
2018-12-31,Other Pink,638
2018-12-31,Other Purple,158
2018-12-31,Other Red,251
2018-12-31,Other Turquoise,7
2018-12-31,Other Yellow,155
2018-12-31,Pink,3530
2018-12-31,Purple,168
2018-12-31,Red,6572
2018-12-31,Silver,1077
2018-12-31,Transparent,139
2018-12-31,Turquoise,510
2018-12-31,Unknown,89
2018-12-31,White,20728
2018-12-31,Yellow,1945
2018-12-31,Yellowish Brown,2140
2019-01-07,Beige,10492
2019-01-07,Black,115924
2019-01-07,Blue,9384
2019-01-07,Bronze/Copper,33
2019-01-07,Dark Beige,1777
2019-01-07,Dark Blue,28792
2019-01-07,Dark Green,8716
2019-01-07,Dark Grey,9767
2019-01-07,Dark Orange,925
2019-01-07,Dark Pink,1762
2019-01-07,Dark Purple,988
2019-01-07,Dark Red,9629
2019-01-07,Dark Turquoise,1559
2019-01-07,Dark Yellow,1093
2019-01-07,Gold,1584
2019-01-07,Green,853
2019-01-07,Greenish Khaki,4856
2019-01-07,Grey,13586
2019-01-07,Greyish Beige,181
2019-01-07,Light Beige,9431
2019-01-07,Light Blue,8052
2019-01-07,Light Green,260
2019-01-07,Light Grey,6316
2019-01-07,Light Orange,2341
2019-01-07,Light Pink,10228
2019-01-07,Light Purple,338
2019-01-07,Light Red,214
2019-01-07,Light Turquoise,798
2019-01-07,Light Yellow,1139
2019-01-07,Off White,4787
2019-01-07,Orange,2348
2019-01-07,Other,320
2019-01-07,Other Blue,88
2019-01-07,Other Green,23
2019-01-07,Other Orange,91
2019-01-07,Other Pink,699
2019-01-07,Other Purple,121
2019-01-07,Other Red,257
2019-01-07,Other Turquoise,4
2019-01-07,Other Yellow,179
2019-01-07,Pink,5051
2019-01-07,Purple,175
2019-01-07,Red,7558
2019-01-07,Silver,1050
2019-01-07,Transparent,140
2019-01-07,Turquoise,542
2019-01-07,Unknown,128
2019-01-07,White,27144
2019-01-07,Yellow,2037
2019-01-07,Yellowish Brown,3534
2019-01-14,Beige,9028
2019-01-14,Black,96866
2019-01-14,Blue,9001
2019-01-14,Bronze/Copper,59
2019-01-14,Dark Beige,1679
2019-01-14,Dark Blue,24032
2019-01-14,Dark Green,6241
2019-01-14,Dark Grey,8153
2019-01-14,Dark Orange,499
2019-01-14,Dark Pink,1482
2019-01-14,Dark Purple,867
2019-01-14,Dark Red,6740
2019-01-14,Dark Turquoise,1340
2019-01-14,Dark Yellow,929
2019-01-14,Gold,1595
2019-01-14,Green,692
2019-01-14,Greenish Khaki,4163
2019-01-14,Grey,10709
2019-01-14,Greyish Beige,256
2019-01-14,Light Beige,7011
2019-01-14,Light Blue,6550
2019-01-14,Light Green,203
2019-01-14,Light Grey,5464
2019-01-14,Light Orange,1961
2019-01-14,Light Pink,7855
2019-01-14,Light Purple,423
2019-01-14,Light Red,223
2019-01-14,Light Turquoise,740
2019-01-14,Light Yellow,895
2019-01-14,Off White,3912
2019-01-14,Orange,1548
2019-01-14,Other,353
2019-01-14,Other Blue,64
2019-01-14,Other Green,20
2019-01-14,Other Orange,81
2019-01-14,Other Pink,587
2019-01-14,Other Purple,121
2019-01-14,Other Red,207
2019-01-14,Other Turquoise,5
2019-01-14,Other Yellow,132
2019-01-14,Pink,4142
2019-01-14,Purple,165
2019-01-14,Red,7391
2019-01-14,Silver,1045
2019-01-14,Transparent,102
2019-01-14,Turquoise,484
2019-01-14,Unknown,144
2019-01-14,White,21488
2019-01-14,Yellow,2031
2019-01-14,Yellowish Brown,2866
2019-01-21,Beige,9783
2019-01-21,Black,104945
2019-01-21,Blue,10216
2019-01-21,Bronze/Copper,67
2019-01-21,Dark Beige,1969
2019-01-21,Dark Blue,25935
2019-01-21,Dark Green,5817
2019-01-21,Dark Grey,8603
2019-01-21,Dark Orange,640
2019-01-21,Dark Pink,1579
2019-01-21,Dark Purple,897
2019-01-21,Dark Red,7096
2019-01-21,Dark Turquoise,1537
